,"(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)","(10,)","(11,)","(12,)","(13,)","(14,)","(15,)","(16,)","(17,)","(1, 2)","(1, 3)","(1, 4)","(1, 5)","(1, 6)","(2, 3)","(2, 4)","(2, 5)","(2, 6)","(3, 4)","(3, 5)","(3, 6)","(4, 5)","(4, 6)","(5, 6)","(7, 8)","(7, 9)","(7, 10)","(7, 11)","(7, 12)","(7, 13)","(7, 14)","(7, 15)","(7, 16)","(8, 9)","(8, 10)","(8, 11)","(8, 12)","(8, 13)","(8, 14)","(8, 15)","(8, 16)","(9, 10)","(9, 11)","(9, 12)","(9, 13)","(9, 14)","(9, 15)","(9, 16)","(10, 11)","(10, 12)","(10, 13)","(10, 14)","(10, 15)","(10, 16)","(11, 12)","(11, 13)","(11, 14)","(11, 15)","(11, 16)","(12, 13)","(12, 14)","(12, 15)","(12, 16)","(13, 14)","(13, 15)","(13, 16)","(14, 15)","(14, 16)","(15, 16)"
"(1,)",1,0.998411676,0.983257435,0.934266269,0.642895865,0.768841415,-0.439407016,-0.454500007,-0.508656643,-0.555875453,-0.673007251,-0.590596859,-0.668326898,-0.658803237,-0.645185362,-0.614492049,0.342553266,-0.253423553,-0.28621134,-0.311423729,0.614968597,0.806702899,-0.280806217,-0.306165829,0.642033836,0.832783018,-0.263236389,0.717921131,0.89613132,0.818367529,0.895941666,0.159180318,-0.263975295,-0.148739489,-0.011002981,0.657009559,0.209994091,0.675638088,0.652628919,0.596253813,0.355446595,0.520735142,0.543787075,0.678130665,0.499448799,0.671456139,0.661925948,0.647170261,0.604616539,0.508515228,0.672902155,0.386920548,0.666636292,0.65816684,0.643329151,0.575460635,0.685276824,0.262426158,0.675673622,0.666245628,0.650835666,0.562392195,-0.578320971,0.318224601,0.194779972,-0.185069423,-0.722728261,0.562951232,0.530431744,0.457326059,0.177296709,-0.023619016,-0.432532009,-0.709187521,-0.603233085,-0.693513736,-0.657884201
"(2,)",0.998411676,1,0.990630029,0.946966773,0.661993704,0.786123902,-0.431935699,-0.447138655,-0.503341089,-0.551738093,-0.669850634,-0.582701179,-0.665482417,-0.656355276,-0.642701074,-0.610142694,0.34139357,-0.307520482,-0.332742621,-0.348729041,0.593278779,0.788320899,-0.321534756,-0.339478047,0.624213631,0.819206256,-0.286946463,0.708002668,0.892197762,0.818547483,0.902594444,0.174677957,-0.259219225,-0.142853457,-0.003808322,0.661852183,0.209924831,0.680668632,0.658192728,0.602253355,0.360973519,0.52299023,0.545958734,0.677926755,0.493865676,0.6715204,0.662484912,0.64789245,0.603831258,0.510369617,0.672157282,0.380008692,0.666234253,0.658342975,0.643663931,0.57365427,0.683857425,0.253694026,0.674719856,0.665994171,0.650729234,0.558858418,-0.584254362,0.320958321,0.199998248,-0.18019483,-0.723601968,0.56864591,0.536574491,0.463912426,0.184955644,-0.016601089,-0.428319039,-0.710593877,-0.602121258,-0.696122622,-0.66137812
"(3,)",0.983257435,0.990630029,1,0.969171059,0.715947863,0.835832245,-0.393333103,-0.420476331,-0.481630302,-0.532491144,-0.64677426,-0.54927905,-0.641446939,-0.63316781,-0.620089048,-0.586039365,0.321905137,-0.402573177,-0.455990791,-0.440895268,0.518377967,0.719391698,-0.447807988,-0.427248142,0.555651852,0.758572597,-0.340219126,0.663574761,0.86153464,0.797123137,0.89845278,0.216760712,-0.226307988,-0.106652539,0.036163374,0.673801804,0.221592594,0.6885586,0.666886665,0.614666152,0.386435387,0.522165826,0.544205908,0.660980857,0.466402505,0.652928192,0.644863797,0.631359364,0.587563192,0.507870099,0.65259989,0.349822744,0.644903687,0.63809482,0.624372438,0.553407046,0.660583937,0.219476229,0.64961925,0.64220968,0.627642568,0.531184298,-0.586653017,0.293815911,0.187620785,-0.177461794,-0.707639583,0.566721381,0.535895924,0.46678758,0.202624234,-0.005925177,-0.407409899,-0.690208397,-0.579652445,-0.677930928,-0.646124772
"(4,)",0.934266269,0.946966773,0.969171059,1,0.792898066,0.872713026,-0.323103116,-0.389955973,-0.448854086,-0.496748932,-0.593194448,-0.509436457,-0.585602907,-0.578203971,-0.566454198,-0.538539017,0.307696504,-0.480303196,-0.533182323,-0.629784406,0.376614558,0.610978517,-0.519957005,-0.623711885,0.418068933,0.656736043,-0.561417142,0.537016764,0.777039369,0.765250622,0.918704616,0.342655608,-0.153228079,-0.033999312,0.107955925,0.673114869,0.277046804,0.679404972,0.658367466,0.613467249,0.425830377,0.492253397,0.511270079,0.603769837,0.432594789,0.592808571,0.5857032,0.573399984,0.536937833,0.475430795,0.592675409,0.321920265,0.581684356,0.575791017,0.562927607,0.500277103,0.596045554,0.19898711,0.581551751,0.575213463,0.560963183,0.471824028,-0.528508119,0.230161684,0.14810795,-0.179505818,-0.64597417,0.505391936,0.47822098,0.415030401,0.174984618,-0.00231062,-0.368775928,-0.621141633,-0.526827506,-0.610618832,-0.580545738
"(5,)",0.642895865,0.661993704,0.715947863,0.792898066,1,0.938960418,0.145295894,-0.119795582,-0.142314665,-0.164090443,-0.244118262,-0.239717705,-0.225061668,-0.216659207,-0.203448943,-0.192785617,0.396011674,-0.508348454,-0.624666986,-0.712563342,-0.208591241,0.107680603,-0.629889253,-0.710664227,-0.172290805,0.153954196,-0.621499612,-0.047177106,0.301884147,0.21452376,0.528644789,0.745440805,0.285337473,0.361965319,0.46243191,0.684521097,0.640391759,0.641446047,0.611132527,0.595415312,0.63366355,0.167433061,0.18299606,0.27162966,0.257808315,0.244027588,0.23348067,0.21755152,0.208908642,0.17899262,0.278795927,0.232153,0.246889299,0.235557102,0.218007744,0.203350364,0.292595515,0.204084356,0.25260494,0.239205965,0.218687523,0.199106412,-0.166790745,-0.136781832,-0.142276436,-0.293123119,-0.349646904,0.128202153,0.109712851,0.064819948,-0.07488633,-0.108891068,-0.270907798,-0.274935296,-0.311811256,-0.251428513,-0.210447774
"(6,)",0.768841415,0.786123902,0.835832245,0.872713026,0.938960418,1,-0.07633876,-0.290806785,-0.340853509,-0.382800568,-0.472657438,-0.413695262,-0.45553934,-0.448185832,-0.436667606,-0.418466355,0.323520791,-0.512516316,-0.639882654,-0.650871213,0.015056716,0.242387354,-0.648366167,-0.64231137,0.054462951,0.289573113,-0.523448274,0.189727227,0.441393381,0.406913138,0.608944731,0.470641952,0.109480036,0.228479225,0.375537657,0.801588973,0.544079542,0.775521033,0.74855053,0.720838253,0.653108212,0.389484661,0.409141999,0.492418604,0.373309094,0.467900129,0.460101371,0.447639001,0.427509935,0.384933148,0.486067605,0.289086544,0.458921467,0.451733455,0.438277186,0.399206981,0.49019874,0.194218469,0.456335135,0.448298586,0.432612248,0.373669327,-0.408031202,0.02259728,-0.001553152,-0.25154454,-0.545652584,0.367002127,0.34393686,0.288822532,0.093246694,-0.032829895,-0.322916494,-0.484388842,-0.439705415,-0.470752549,-0.437456925
"(7,)",-0.439407016,-0.431935699,-0.393333103,-0.323103116,0.145295894,-0.07633876,1,0.694974452,0.751715307,0.807539946,0.861998885,0.822630196,0.868125796,0.862935034,0.856646699,0.857472376,0.041152613,-0.004932684,-0.077709429,-0.096110751,-0.710635109,-0.59615889,-0.100561645,-0.104871072,-0.719123816,-0.598099314,-0.08795386,-0.718479261,-0.572335466,-0.671408822,-0.463200779,0.520588274,0.849629103,0.747380887,0.628427863,-0.201242305,0.372992959,-0.271808798,-0.27414233,-0.193815915,0.217353123,-0.700884231,-0.735710338,-0.804329239,-0.642943278,-0.815870316,-0.814000937,-0.806865739,-0.792462855,-0.691652118,-0.779394341,-0.488322689,-0.795609598,-0.796713577,-0.790244766,-0.74761054,-0.76565396,-0.312761951,-0.784958142,-0.78744965,-0.780693948,-0.714727629,0.629095118,-0.583737128,-0.432088592,0.013219123,0.721069844,-0.647865581,-0.625005357,-0.550106212,-0.250995043,-0.108828643,0.393458547,0.769968314,0.640171448,0.776441725,0.747156773
"(8,)",-0.454500007,-0.447138655,-0.420476331,-0.389955973,-0.119795582,-0.290806785,0.694974452,1,0.976993284,0.926360673,0.796178875,0.773722591,0.791971264,0.798028756,0.81083948,0.846652502,0.020177191,0.001181358,-0.008854619,0.049138978,-0.456943211,-0.420818521,-0.012125859,0.053807439,-0.462731311,-0.422606876,0.076045909,-0.473183074,-0.418326433,-0.498463486,-0.398302635,0.256164085,0.211275516,0.061467827,-0.044799199,-0.520761033,-0.070428211,-0.554674015,-0.567947929,-0.544481095,-0.324574487,-0.625823477,-0.527003672,-0.539088181,-0.309926839,-0.547249275,-0.562656926,-0.56772474,-0.517898323,-0.370664002,-0.48725276,-0.143211023,-0.500753737,-0.521126418,-0.525643609,-0.427959735,-0.495548671,-0.029684328,-0.510408597,-0.535527648,-0.544337672,-0.422098706,0.557585554,-0.395820331,-0.408515178,-0.13268278,0.507213889,-0.556053234,-0.559523318,-0.527981423,-0.340227842,-0.308996846,0.093121271,0.538130998,0.350216749,0.583331826,0.600742443
"(9,)",-0.508656643,-0.503341089,-0.481630302,-0.448854086,-0.142314665,-0.340853509,0.751715307,0.976993284,1,0.979821997,0.864463648,0.805619873,0.86155947,0.868496183,0.881937451,0.907285566,0.040778297,0.051515026,0.048262963,0.08813516,-0.502927001,-0.456752025,0.044008786,0.089508673,-0.513140662,-0.463223199,0.095428034,-0.536564511,-0.472012409,-0.569088621,-0.453515076,0.295394084,0.305287329,0.12366999,-0.019221819,-0.569618838,-0.025147176,-0.609514105,-0.624427927,-0.598248496,-0.334972239,-0.777762772,-0.683598817,-0.647236761,-0.377380603,-0.655030404,-0.671568831,-0.680906857,-0.634765297,-0.51510371,-0.579065542,-0.169335742,-0.593317518,-0.61555585,-0.624214905,-0.520661318,-0.568526548,-0.006690944,-0.585555543,-0.61322878,-0.625424583,-0.480644848,0.663521035,-0.453975375,-0.46287976,-0.155567299,0.585526832,-0.659150083,-0.660757391,-0.627640408,-0.420986936,-0.34289032,0.102639742,0.620521609,0.387639369,0.670300067,0.694763951
"(10,)",-0.555875453,-0.551738093,-0.532491144,-0.496748932,-0.164090443,-0.382800568,0.807539946,0.926360673,0.979821997,1,0.927638541,0.857247618,0.924431121,0.92992588,0.940890127,0.960660365,0.035504436,0.084998451,0.085105019,0.112916361,-0.540808238,-0.489633083,0.07983042,0.111984681,-0.554057589,-0.499255725,0.107394341,-0.586012814,-0.516358453,-0.622864545,-0.497399743,0.32083334,0.418316594,0.228003791,0.048706052,-0.609943047,-0.013631201,-0.652624196,-0.664960875,-0.630234052,-0.333287495,-0.853191725,-0.808281168,-0.763996926,-0.497962052,-0.768478033,-0.782782001,-0.792828933,-0.763256664,-0.676024407,-0.698128196,-0.27884492,-0.708603953,-0.728661827,-0.738823037,-0.655688912,-0.670379631,-0.074680492,-0.683948187,-0.709321877,-0.721669031,-0.591279609,0.724250361,-0.485813396,-0.477227424,-0.126286047,0.665884685,-0.71803148,-0.715128059,-0.672910356,-0.435611335,-0.330059375,0.159118615,0.698545607,0.459566819,0.744812464,0.763305572
"(11,)",-0.673007251,-0.669850634,-0.64677426,-0.593194448,-0.244118262,-0.472657438,0.861998885,0.796178875,0.864463648,0.927638541,1,0.927296425,0.998347183,0.995609898,0.990817104,0.984967715,-0.095721674,0.134721966,0.114024155,0.114806247,-0.608005417,-0.584311294,0.099018247,0.107015765,-0.625901431,-0.59879887,0.091646408,-0.663822295,-0.620074721,-0.692957837,-0.581416116,0.289733865,0.58781395,0.42614529,0.236329392,-0.670005395,-0.034527686,-0.719061665,-0.715445168,-0.647003474,-0.278988548,-0.814969479,-0.848506016,-0.938823095,-0.713888942,-0.939893523,-0.94215806,-0.937618457,-0.912089971,-0.791008982,-0.910418162,-0.530437127,-0.914959183,-0.921366868,-0.918187754,-0.857473396,-0.898995862,-0.325060287,-0.903825175,-0.912872574,-0.910628493,-0.820934282,0.775407892,-0.549886165,-0.448990706,0.037318871,0.86492888,-0.773203762,-0.752141285,-0.672164986,-0.3306467,-0.187955965,0.40111525,0.888346851,0.706649342,0.90670941,0.884852523
"(12,)",-0.590596859,-0.582701179,-0.54927905,-0.509436457,-0.239717705,-0.413695262,0.822630196,0.773722591,0.805619873,0.857247618,0.927296425,1,0.915059366,0.904239041,0.892564853,0.922715224,-0.188032634,0.030214579,0.003818848,0.071114681,-0.507307859,-0.513760512,-0.006458665,0.073831633,-0.515949039,-0.518540743,0.099436116,-0.529039982,-0.515242329,-0.563346963,-0.493030912,0.186766845,0.550771924,0.426201681,0.262513222,-0.587168842,-0.22070006,-0.613140716,-0.595415322,-0.516669826,-0.233486527,-0.665964095,-0.724785488,-0.850401635,-0.842117141,-0.837811414,-0.828762283,-0.812282868,-0.830951312,-0.706083525,-0.840928092,-0.720287541,-0.828367434,-0.821126926,-0.804623491,-0.80883474,-0.83709121,-0.577473461,-0.820833128,-0.813274003,-0.794383733,-0.794904759,0.482686718,-0.354305374,-0.235092685,0.228368867,0.774855921,-0.483110736,-0.458528321,-0.361026199,0.005217263,-0.010779822,0.508934573,0.763418323,0.736857751,0.752869764,0.689471311
"(13,)",-0.668326898,-0.665482417,-0.641446939,-0.585602907,-0.225061668,-0.45553934,0.868125796,0.791971264,0.86155947,0.924431121,0.998347183,0.915059366,1,0.998737247,0.994778625,0.984588402,-0.08485122,0.138771642,0.108896093,0.104776096,-0.621651934,-0.593031873,0.090713645,0.095424356,-0.640028478,-0.607919913,0.0805642,-0.676626453,-0.627201394,-0.700926021,-0.58293187,0.305447378,0.599226251,0.438286153,0.250929308,-0.65783804,-0.004049421,-0.713617789,-0.71301338,-0.645742597,-0.266972547,-0.816746684,-0.84784457,-0.938917239,-0.699104048,-0.944424463,-0.948686977,-0.945600513,-0.915027497,-0.787961305,-0.910128239,-0.513478824,-0.919824739,-0.92856175,-0.927186526,-0.860541672,-0.899473767,-0.30644457,-0.910465583,-0.922309107,-0.922578092,-0.826883836,0.79218197,-0.596976135,-0.493810811,-0.004124307,0.859871385,-0.795188476,-0.776065846,-0.698527975,-0.359015561,-0.21700616,0.3807463,0.894945017,0.697840856,0.918274238,0.901510806
"(14,)",-0.658803237,-0.656355276,-0.63316781,-0.578203971,-0.216659207,-0.448185832,0.862935034,0.798028756,0.868496183,0.92992588,0.995609898,0.904239041,0.998737247,1,0.998358246,0.987157871,-0.068305423,0.14290909,0.11188238,0.105805699,-0.618140145,-0.585376767,0.093072122,0.095968815,-0.636789499,-0.600607381,0.080133135,-0.673782475,-0.620468623,-0.697941099,-0.576858943,0.312747671,0.587727373,0.423486913,0.234892184,-0.660150653,0.004703561,-0.718496083,-0.722518717,-0.659999397,-0.281417877,-0.824262665,-0.850773705,-0.931659005,-0.677709815,-0.939432052,-0.947196052,-0.947165901,-0.914050825,-0.785951795,-0.899980518,-0.487356668,-0.912461698,-0.925261173,-0.927309851,-0.856592529,-0.88759216,-0.276777826,-0.902090714,-0.918832902,-0.923293177,-0.822265562,0.8040289,-0.616840525,-0.530653819,-0.050728059,0.842204614,-0.808713124,-0.794092813,-0.721996869,-0.391634275,-0.265773377,0.336450572,0.884087821,0.668577914,0.916110877,0.907712838
"(15,)",-0.645185362,-0.642701074,-0.620089048,-0.566454198,-0.203448943,-0.436667606,0.856646699,0.81083948,0.881937451,0.940890127,0.990817104,0.892564853,0.994778625,0.998358246,1,0.990156066,-0.044219392,0.138462325,0.109612478,0.104154572,-0.614348563,-0.575359218,0.091772234,0.094785219,-0.632609984,-0.590148512,0.079216757,-0.66921904,-0.609740779,-0.693057844,-0.567085315,0.324305831,0.569784868,0.400485499,0.209786684,-0.660099524,0.012967659,-0.719697549,-0.727999027,-0.672147199,-0.298699003,-0.835664826,-0.855488092,-0.917695622,-0.649286883,-0.927108188,-0.938127303,-0.942137514,-0.908069667,-0.783417096,-0.881146064,-0.452198916,-0.895796999,-0.912365108,-0.918773381,-0.844918493,-0.865212961,-0.236786781,-0.882626867,-0.903919916,-0.913477337,-0.806868526,0.812506736,-0.626219602,-0.55838277,-0.098137748,0.815631981,-0.817668697,-0.807290419,-0.742725969,-0.427413059,-0.309835705,0.284390045,0.862952732,0.624886499,0.903014871,0.905027113
"(16,)",-0.614492049,-0.610142694,-0.586039365,-0.538539017,-0.192785617,-0.418466355,0.857472376,0.846652502,0.907285566,0.960660365,0.984967715,0.922715224,0.984588402,0.987157871,0.990156066,1,-0.033770715,0.097816219,0.080434165,0.09661128,-0.58612834,-0.54561015,0.068792793,0.092258923,-0.600925978,-0.556613994,0.087037933,-0.631913028,-0.570912838,-0.65956495,-0.536452066,0.316373777,0.544646753,0.376201461,0.185126342,-0.647590669,-0.034814467,-0.698778425,-0.705557244,-0.652246488,-0.31584558,-0.822825899,-0.84411652,-0.889168838,-0.664054725,-0.893857741,-0.903706541,-0.907778866,-0.893699921,-0.774745829,-0.850798341,-0.472680226,-0.860048889,-0.875159942,-0.881227272,-0.831408181,-0.8304082,-0.263835942,-0.841692074,-0.861235571,-0.869609528,-0.791992266,0.747962111,-0.559777211,-0.504429516,-0.068434581,0.765232181,-0.750219037,-0.741069237,-0.677598081,-0.380625751,-0.287747439,0.277860969,0.803123651,0.600032445,0.840300423,0.836583096
"(17,)",0.342553266,0.34139357,0.321905137,0.307696504,0.396011674,0.323520791,0.041152613,0.020177191,0.040778297,0.035504436,-0.095721674,-0.188032634,-0.08485122,-0.068305423,-0.044219392,-0.033770715,1,-0.076264199,-0.019709351,-0.073847847,0.029697291,0.22071225,0.003083994,-0.070309518,0.03590838,0.228476188,-0.093188914,0.036276038,0.226971991,0.074901891,0.238204855,0.388788994,0.041151657,0.020853141,0.022884692,0.245199592,0.377466491,0.222567718,0.186266744,0.143109397,0.13992681,-0.089625835,-0.048537898,0.144729209,0.299389128,0.127177141,0.104436803,0.073752235,0.071305421,-0.001903477,0.188786559,0.360587129,0.166042417,0.139784906,0.107424576,0.122434546,0.231784522,0.420493031,0.200800345,0.16899846,0.132992814,0.17608339,0.093229136,-0.103170405,-0.214770465,-0.377745299,-0.258587383,-0.098481247,-0.125473237,-0.187768886,-0.363493525,-0.30101727,-0.396455019,-0.20289397,-0.356920874,-0.147026316,-0.070434555
"(1, 2)",-0.253423553,-0.307520482,-0.402573177,-0.480303196,-0.508348454,-0.512516316,-0.004932684,0.001181358,0.051515026,0.084998451,0.134721966,0.030214579,0.138771642,0.14290909,0.138462325,0.097816219,-0.076264199,1,0.879300744,0.727956218,0.199783317,0.089166119,0.778143022,0.657914208,0.125742109,-0.000663761,0.481001915,-0.031229899,-0.184014369,-0.232815271,-0.36572818,-0.310787462,-0.007550533,-0.059305316,-0.120436298,-0.267567425,-0.057756278,-0.276032578,-0.2787344,-0.270388541,-0.194661305,-0.184918358,-0.189944901,-0.186862473,-0.044346902,-0.189598475,-0.195420796,-0.194081438,-0.156246873,-0.174583319,-0.176101947,0.010057442,-0.180235392,-0.187789255,-0.186348034,-0.130523862,-0.167993922,0.076255899,-0.173300183,-0.182717442,-0.180882204,-0.097195435,0.264208401,-0.136324883,-0.144338442,-0.03179342,0.217876621,-0.25580522,-0.254374683,-0.241467528,-0.18125671,-0.113915423,0.049058648,0.223235262,0.150248608,0.239492536,0.244689479
"(1, 3)",-0.28621134,-0.332742621,-0.455990791,-0.533182323,-0.624666986,-0.639882654,-0.077709429,-0.008854619,0.048262963,0.085105019,0.114024155,0.003818848,0.108896093,0.11188238,0.109612478,0.080434165,-0.019709351,0.879300744,1,0.797429763,0.277653627,0.157101403,0.983353963,0.751322043,0.213825974,0.078432443,0.503394919,0.016996709,-0.153539938,-0.194672172,-0.34860856,-0.362341211,-0.099091826,-0.165498816,-0.243776305,-0.334178252,-0.139489715,-0.320847457,-0.31928069,-0.320004878,-0.295901434,-0.202600217,-0.205864693,-0.163765259,-0.013279769,-0.154051876,-0.158201339,-0.159253115,-0.136764397,-0.187011328,-0.145214254,0.050178049,-0.135384981,-0.140957838,-0.141263088,-0.099532239,-0.126761871,0.127565302,-0.116052289,-0.1231509,-0.121810427,-0.046508675,0.260334932,0.008849628,-0.035597656,0.029081884,0.191263358,-0.230651259,-0.22739607,-0.221030586,-0.199549545,-0.084346219,0.029825465,0.165821929,0.101944277,0.177839377,0.18460265
"(1, 4)",-0.311423729,-0.348729041,-0.440895268,-0.629784406,-0.712563342,-0.650871213,-0.096110751,0.049138978,0.08813516,0.112916361,0.114806247,0.071114681,0.104776096,0.105805699,0.104154572,0.09661128,-0.073847847,0.727956218,0.797429763,1,0.335957009,0.129035651,0.773951574,0.995270815,0.284436108,0.06390095,0.922793253,0.132753596,-0.118701495,-0.256687303,-0.496662307,-0.566467655,-0.166654614,-0.233377702,-0.311644045,-0.362613592,-0.280896396,-0.338811647,-0.332871857,-0.336009019,-0.36050116,-0.177523598,-0.177978901,-0.131843146,-0.064923151,-0.117177111,-0.119003811,-0.118356912,-0.11387773,-0.159293159,-0.1136631,-0.015110613,-0.098027744,-0.100774123,-0.098812353,-0.079684194,-0.095687239,0.041301403,-0.077988019,-0.081637863,-0.077226982,-0.032322493,0.148648805,0.079769017,0.029529724,0.075200593,0.147158207,-0.120541071,-0.118972551,-0.109809342,-0.080043687,-0.045319177,0.040580555,0.110493472,0.089958531,0.116602277,0.11406986
"(1, 5)",0.614968597,0.593278779,0.518377967,0.376614558,-0.208591241,0.015056716,-0.710635109,-0.456943211,-0.502927001,-0.540808238,-0.608005417,-0.507307859,-0.621651934,-0.618140145,-0.614348563,-0.58612834,0.029697291,0.199783317,0.277653627,0.335957009,1,0.91920664,0.289920719,0.340715959,0.997184092,0.904864142,0.303733395,0.965246238,0.833419163,0.824066461,0.599726852,-0.564223568,-0.630839296,-0.562583755,-0.490132573,0.134190398,-0.391172222,0.202323036,0.204149672,0.148348854,-0.198490179,0.492534696,0.505943595,0.586254993,0.372332162,0.606153686,0.604840173,0.602395126,0.556956049,0.465023897,0.572205292,0.255051215,0.597058858,0.597907998,0.597026394,0.525456385,0.573808971,0.124984299,0.602724216,0.604475777,0.60591981,0.513156142,-0.566745242,0.54719812,0.395197958,0.065449873,-0.562891282,0.586853937,0.564362615,0.517234217,0.303514412,0.08191979,-0.273435241,-0.622526835,-0.449291871,-0.626703387,-0.623389163
"(1, 6)",0.806702899,0.788320899,0.719391698,0.610978517,0.107680603,0.242387354,-0.59615889,-0.420818521,-0.456752025,-0.489633083,-0.584311294,-0.513760512,-0.593031873,-0.585376767,-0.575359218,-0.54561015,0.22071225,0.089166119,0.157101403,0.129035651,0.91920664,1,0.173130745,0.129103765,0.923849302,0.995957237,0.084399377,0.913954456,0.951734465,0.865619629,0.796590286,-0.193530918,-0.501729643,-0.436857304,-0.363772617,0.256044054,-0.184262622,0.308397501,0.298412057,0.238493115,-0.064270682,0.430157279,0.446957719,0.573835178,0.412785724,0.586370738,0.579116611,0.568245353,0.522282308,0.415803363,0.571771447,0.319866269,0.587357271,0.58114819,0.571071376,0.504202387,0.586736043,0.218638543,0.603467046,0.596586542,0.58770228,0.507988353,-0.500410351,0.461992238,0.296981887,-0.048325461,-0.592310438,0.515009485,0.486983421,0.427005442,0.18290942,-0.005503879,-0.35785465,-0.628389935,-0.50892611,-0.617202382,-0.593909705
"(2, 3)",-0.280806217,-0.321534756,-0.447807988,-0.519957005,-0.629889253,-0.648366167,-0.100561645,-0.012125859,0.044008786,0.07983042,0.099018247,-0.006458665,0.090713645,0.093072122,0.091772234,0.068792793,0.003083994,0.778143022,0.983353963,0.773951574,0.289920719,0.173130745,1,0.739865228,0.23398905,0.103649884,0.480397462,0.034295953,-0.132325078,-0.167956932,-0.320262239,-0.359292196,-0.12775158,-0.195591573,-0.275512355,-0.338653411,-0.161910934,-0.317851872,-0.314752453,-0.318883508,-0.315962377,-0.196682502,-0.199073956,-0.144739392,-0.000641181,-0.130889165,-0.1341384,-0.136033925,-0.120808078,-0.180069852,-0.124379473,0.062298937,-0.109843838,-0.114309565,-0.115259282,-0.081518848,-0.103137777,0.139112411,-0.086994344,-0.092761079,-0.091690423,-0.024305171,0.24257144,0.063619654,0.008084714,0.050489898,0.169169029,-0.206637445,-0.202886075,-0.199406643,-0.194023103,-0.067759697,0.020669969,0.133582212,0.077185479,0.143225124,0.150155524
"(2, 4)",-0.306165829,-0.339478047,-0.427248142,-0.623711885,-0.710664227,-0.64231137,-0.104871072,0.053807439,0.089508673,0.111984681,0.107015765,0.073831633,0.095424356,0.095968815,0.094785219,0.092258923,-0.070309518,0.657914208,0.751322043,0.995270815,0.340715959,0.129103765,0.739865228,1,0.294615054,0.070286286,0.945453961,0.150243841,-0.104310658,-0.24896053,-0.493720249,-0.578182149,-0.181986707,-0.247942082,-0.325249068,-0.360388539,-0.300357104,-0.33304415,-0.326136493,-0.330764711,-0.36839721,-0.168789738,-0.168579747,-0.118341475,-0.065028099,-0.101843917,-0.103025104,-0.102504256,-0.102945294,-0.150233962,-0.099897629,-0.018023075,-0.082137201,-0.084083167,-0.082132506,-0.069032296,-0.081301322,0.03456097,-0.061107611,-0.063781865,-0.059196855,-0.021731375,0.125843405,0.106941577,0.052893326,0.087111041,0.130770364,-0.096159163,-0.094638427,-0.086402068,-0.062238416,-0.03363363,0.037625442,0.089736638,0.0775225,0.094142446,0.090624359
"(2, 5)",0.642033836,0.624213631,0.555651852,0.418068933,-0.172290805,0.054462951,-0.719123816,-0.462731311,-0.513140662,-0.554057589,-0.625901431,-0.515949039,-0.640028478,-0.636789499,-0.632609984,-0.600925978,0.03590838,0.125742109,0.213825974,0.284436108,0.997184092,0.923849302,0.23398905,0.294615054,1,0.916203139,0.270708714,0.979677811,0.857899146,0.852164874,0.635198538,-0.547473411,-0.638133888,-0.565066384,-0.487032962,0.156339776,-0.391631419,0.225971227,0.228027336,0.170890692,-0.186072455,0.512830195,0.52679246,0.607871799,0.380374801,0.628228422,0.627344063,0.624765747,0.575863887,0.48418808,0.592823816,0.257468671,0.618304015,0.619741783,0.61873861,0.542003317,0.593826944,0.120713714,0.623509266,0.626003361,0.627324682,0.526998792,-0.594035584,0.564460193,0.411177049,0.068699124,-0.586590079,0.613752881,0.590871285,0.542165967,0.321167285,0.09165878,-0.280604355,-0.647380535,-0.466399329,-0.652853562,-0.649895377
